title,units,description,prereqs,coreqs,grading_type,note,combined
EE 288 - Data Conversions/Analog Mixed Signal ICs,3 unit(s),Study of different architectures for analog to digital convertors and digital to analog convertors. System level modeling & simulation. Design considerations and techniques for circuit implementation. Data conversion testing methods.,Graduate standing or instructor consent.,No corequisites,Letter Graded,No additional notes,Title: EE 288 - Data Conversions/Analog Mixed Signal ICs; description: Study of different architectures for analog to digital convertors and digital to analog convertors. System level modeling & simulation. Design considerations and techniques for circuit implementation. Data conversion testing methods.; units: 3 unit(s); prereqs: Graduate standing or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded
EE 289 - Special Topics in Networking,3 unit(s),"Advanced topics in networking that are currently of high interest to both industry and academia. Content varies from semester to semester, and may include, but not limited to, network security, virtual private network, network availability and reliability, network management.",Graduate standing or instructor consent.,No corequisites,Letter Graded,No additional notes,"Title: EE 289 - Special Topics in Networking; description: Advanced topics in networking that are currently of high interest to both industry and academia. Content varies from semester to semester, and may include, but not limited to, network security, virtual private network, network availability and reliability, network management.; units: 3 unit(s); prereqs: Graduate standing or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
EE 295 - Technical Writing - Engineering Ethics,3 unit(s),"Students learn to analyze and write about issues in engineering ethics. Three types of ethics are explored: ethics of the person, the process, and the product. Satisfies GWAR: Graduation Writing Assessment Requirement.",Graduate standing.,No corequisites,Letter Graded,This course satisfies graduate-level GWAR in this masters program. Sustainability Related - SDG 7: Affordable and Clean Energy,"Title: EE 295 - Technical Writing - Engineering Ethics; description: Students learn to analyze and write about issues in engineering ethics. Three types of ethics are explored: ethics of the person, the process, and the product. Satisfies GWAR: Graduation Writing Assessment Requirement.; units: 3 unit(s); prereqs: Graduate standing.; coreqs: No corequisites; grading_type: Letter Graded"
EE 296A - ES-level and Physical-level Design,3 unit(s),"Electronic System Level (ESL) Description of Systems using SystemC/OpenCL, High Level Synthesis from ESL Languages, Physical design and verification, Floorplanning, Placement, Routing, Power Analysis, Signal Integrity Analysis, ESL simulations and automate physical design tasks",Graduate Standing,No corequisites,Letter Graded,No additional notes,"Title: EE 296A - ES-level and Physical-level Design; description: Electronic System Level (ESL) Description of Systems using SystemC/OpenCL, High Level Synthesis from ESL Languages, Physical design and verification, Floorplanning, Placement, Routing, Power Analysis, Signal Integrity Analysis, ESL simulations and automate physical design tasks; units: 3 unit(s); prereqs: Graduate Standing; coreqs: No corequisites; grading_type: Letter Graded"
EE 297A - MSEE Project Proposal,3 unit(s),"Written project proposal development for MSEE research/design project, subsequently culminating in EE 297B or EE 299B . An approved application for EE 297A registration including project title and abstract and graduate seminar participation required. 9 hours lab.","Department consent, Classified Standing, GPA of 3.0, satisfied GWAR requirement or EE 295 may be taken concurrently.",No corequisites,Credit/No Credit,No additional notes,"Title: EE 297A - MSEE Project Proposal; description: Written project proposal development for MSEE research/design project, subsequently culminating in EE 297B or EE 299B . An approved application for EE 297A registration including project title and abstract and graduate seminar participation required. 9 hours lab.; units: 3 unit(s); prereqs: Department consent, Classified Standing, GPA of 3.0, satisfied GWAR requirement or EE 295 may be taken concurrently.; coreqs: No corequisites; grading_type: Credit/No Credit"
EE 297B - MSEE Project,3 unit(s),"Implementation of the research/design project, culminating the MSEE work proposed in EE 297A or EE 299A . Formal Masters project report and its formal defense required.",EE 297A or EE 299A with grade of CR. Satisfaction of GWAR (EE 295 or ENGR 200W with C or better).,No corequisites,Letter Graded,No additional notes,"Title: EE 297B - MSEE Project; description: Implementation of the research/design project, culminating the MSEE work proposed in EE 297A or EE 299A . Formal Masters project report and its formal defense required.; units: 3 unit(s); prereqs: EE 297A or EE 299A with grade of CR. Satisfaction of GWAR (EE 295 or ENGR 200W with C or better).; coreqs: No corequisites; grading_type: Letter Graded"
EE 298 - Special Problems,1-6 unit(s),Advanced individual work in electrical engineering.,Graduate standing. Not available to Open University Students,No corequisites,Mandatory Credit/No Credit/RP,No additional notes,Title: EE 298 - Special Problems; description: Advanced individual work in electrical engineering.; units: 1-6 unit(s); prereqs: Graduate standing. Not available to Open University Students; coreqs: No corequisites; grading_type: Mandatory Credit/No Credit/RP
EE 298I - Electrical Engineering Internship Experience,1-3 unit(s),For this course a student is employed in industry as an electrical engineering intern or in an equivalent position. The course supplements and supports students plan of study. Course may be repeated for credit for up to 9 units.,Graduate standing.,No corequisites,Mandatory Credit/No Credit/RP,No additional notes,Title: EE 298I - Electrical Engineering Internship Experience; description: For this course a student is employed in industry as an electrical engineering intern or in an equivalent position. The course supplements and supports students plan of study. Course may be repeated for credit for up to 9 units.; units: 1-3 unit(s); prereqs: Graduate standing.; coreqs: No corequisites; grading_type: Mandatory Credit/No Credit/RP
EE 299A - MSEE Thesis Proposal,3 unit(s),"Written Thesis proposal development for research/design, subsequently culminating the MSEE work in EE 299B or EE 297B . An approved application for EE 299A registration, including project title and abstract and graduate seminar participation required.","Department consent, Classified standing, minimum GPA of 3.0, satisfied GWAR requirement or EE 295 may be taken concurrently.",No corequisites,Credit/No Credit,No additional notes,"Title: EE 299A - MSEE Thesis Proposal; description: Written Thesis proposal development for research/design, subsequently culminating the MSEE work in EE 299B or EE 297B . An approved application for EE 299A registration, including project title and abstract and graduate seminar participation required.; units: 3 unit(s); prereqs: Department consent, Classified standing, minimum GPA of 3.0, satisfied GWAR requirement or EE 295 may be taken concurrently.; coreqs: No corequisites; grading_type: Credit/No Credit"
EE 299B - MSEE Thesis,3 unit(s),"Implementation of the research/design, culminating the MSEE work proposed in EE 299A or EE 297A . Formal Masters Thesis report and its formal defense required.",EE 297A or EE 299A with grade of CR and satisfied GWAR requirement,No corequisites,Mandatory Credit/No Credit/RP,No additional notes,"Title: EE 299B - MSEE Thesis; description: Implementation of the research/design, culminating the MSEE work proposed in EE 299A or EE 297A . Formal Masters Thesis report and its formal defense required.; units: 3 unit(s); prereqs: EE 297A or EE 299A with grade of CR and satisfied GWAR requirement; coreqs: No corequisites; grading_type: Mandatory Credit/No Credit/RP"
EE 1290R - Culminating Experience Supervision,1 unit(s),"Continued work on thesis or project beyond minimum required units, for cases in which final deliverables are still in progress. Course may be repeated for credit for up to 16 units.",RP grade in a preceding thesis or project semester,No corequisites,Credit/No Credit/No Degree Credit,No Degree Credit.,"Title: EE 1290R - Culminating Experience Supervision; description: Continued work on thesis or project beyond minimum required units, for cases in which final deliverables are still in progress. Course may be repeated for credit for up to 16 units.; units: 1 unit(s); prereqs: RP grade in a preceding thesis or project semester; coreqs: No corequisites; grading_type: Credit/No Credit/No Degree Credit"
MATH 1 - Mathematical Reasoning,3 unit(s),Focus on foundational mathematical skills and knowledge in the context of contemporary society. Satisfies B4: Mathematics/Quantitative Reasoning.,No prerequisites,"MATH 1001S required for Math Enrollment Categories M-III and M-IV. Allowed Declared Majors: College of Engineering, College of Science, College of Business, Economics, Forensic Science, Packaging, or Undeclared.",Letter Graded,No additional notes,"Title: MATH 1 - Mathematical Reasoning; description: Focus on foundational mathematical skills and knowledge in the context of contemporary society. Satisfies B4: Mathematics/Quantitative Reasoning.; units: 3 unit(s); prereqs: No prerequisites; coreqs: MATH 1001S required for Math Enrollment Categories M-III and M-IV. Allowed Declared Majors: College of Engineering, College of Science, College of Business, Economics, Forensic Science, Packaging, or Undeclared.; grading_type: Letter Graded"
MATH 10 - Mathematics for General Education,3 unit(s),"Topics include methods of proof, problem solving, trigonometry, probability, statistics, applications to scheduling and apportionment, population studies, consumer math, theory of games, polyhedra, networks, graph theory, linear programming. Satisfies B4: Mathematics/Quantitative Reasoning.","Math Enrollment Category M-I or M-II, or MATH 1 with a grade of C- or better.",No corequisites,Letter Graded,No additional notes,"Title: MATH 10 - Mathematics for General Education; description: Topics include methods of proof, problem solving, trigonometry, probability, statistics, applications to scheduling and apportionment, population studies, consumer math, theory of games, polyhedra, networks, graph theory, linear programming. Satisfies B4: Mathematics/Quantitative Reasoning.; units: 3 unit(s); prereqs: Math Enrollment Category M-I or M-II, or MATH 1 with a grade of C- or better.; coreqs: No corequisites; grading_type: Letter Graded"
MATH 10A - Mathematics in Art and Music,3 unit(s),"An accessible look into some beautiful ideas of mathematics in art and music. Topics include plane symmetries, tilings, perspective drawing, musical intervals, scales and temperament, timbre and periodic functions. Satisfies B4: Mathematics/Quantitative Reasoning.",No prerequisites,MATH 1010AS required for Math Enrollment Categories M-III and M-IV.,Letter Graded,No additional notes,"Title: MATH 10A - Mathematics in Art and Music; description: An accessible look into some beautiful ideas of mathematics in art and music. Topics include plane symmetries, tilings, perspective drawing, musical intervals, scales and temperament, timbre and periodic functions. Satisfies B4: Mathematics/Quantitative Reasoning.; units: 3 unit(s); prereqs: No prerequisites; coreqs: MATH 1010AS required for Math Enrollment Categories M-III and M-IV.; grading_type: Letter Graded"
"MATH 10D - Probability, Data Science, Ethics, and You",3 unit(s),An accessible introduction to the basic principles of probability and data science with a focus on ethical considerations. Satisfies B4: Mathematics/Quantitative Reasoning.,No prerequisites,MATH 1010DS required for Math Enrollment Categories M-III and M-IV.,Letter Graded,No additional notes,"Title: MATH 10D - Probability, Data Science, Ethics, and You; description: An accessible introduction to the basic principles of probability and data science with a focus on ethical considerations. Satisfies B4: Mathematics/Quantitative Reasoning.; units: 3 unit(s); prereqs: No prerequisites; coreqs: MATH 1010DS required for Math Enrollment Categories M-III and M-IV.; grading_type: Letter Graded"
MATH 10P - Mathematics in Politics,3 unit(s),"An accessible look into some beautiful ideas of mathematics in politics. Topics include voting systems, apportionment and gerrymandering. Satisfies B4: Mathematics/Quantitative Reasoning.",No prerequisites,MATH 1010PS required for Math Enrollment Categories M-III and M-IV.,"Letter Graded Sustainability Focused - SDG 16: Peace, Justice and Strong Institutions",No additional notes,"Title: MATH 10P - Mathematics in Politics; description: An accessible look into some beautiful ideas of mathematics in politics. Topics include voting systems, apportionment and gerrymandering. Satisfies B4: Mathematics/Quantitative Reasoning.; units: 3 unit(s); prereqs: No prerequisites; coreqs: MATH 1010PS required for Math Enrollment Categories M-III and M-IV.; grading_type: Letter Graded Sustainability Focused - SDG 16: Peace, Justice and Strong Institutions"
MATH 12 - Number Systems,3 unit(s),"Structure of the real number system, numeration systems, elementary number theory, and problem-solving techniques; technology integrated throughout the course.  Satisfies B4: Mathematics/Quantitative Reasoning.","Two years of high school algebra; one year of high school geometry; Math Enrollment Category M-I or M-II, or GE Area B4 completed with a grade of C- or better.",No corequisites,Letter Graded,"This course is intended for future elementary teachers. The sequence of MATH 12, MATH 105 , and MATH 106 satisfies subject matter competence in K-8 mathematics.","Title: MATH 12 - Number Systems; description: Structure of the real number system, numeration systems, elementary number theory, and problem-solving techniques; technology integrated throughout the course.  Satisfies B4: Mathematics/Quantitative Reasoning.; units: 3 unit(s); prereqs: Two years of high school algebra; one year of high school geometry; Math Enrollment Category M-I or M-II, or GE Area B4 completed with a grade of C- or better.; coreqs: No corequisites; grading_type: Letter Graded"
MATH 15 - Statway: Statistics-Concepts & Methods,3 unit(s),"Concepts and methods of statistics with an emphasis on data analysis. Topics include methods for collecting data, graphical and numerical descriptive statistics, correlation, simple linear regression, basic concepts of probability, confidence intervals and hypothesis tests for means and proportions, and chi-square tests. Lecture 1 hour / Activity 4 hoursSatisfies Completion with a grade of C- or better satisfies the GE Area B4: Mathematics/Quantitative Reasoning requirement.",No prerequisites,No corequisites,Letter Graded Cross-listed with UNVS 15 . Mathematics and Statistics is responsible for scheduling.,No additional notes,"Title: MATH 15 - Statway: Statistics-Concepts & Methods; description: Concepts and methods of statistics with an emphasis on data analysis. Topics include methods for collecting data, graphical and numerical descriptive statistics, correlation, simple linear regression, basic concepts of probability, confidence intervals and hypothesis tests for means and proportions, and chi-square tests. Lecture 1 hour / Activity 4 hoursSatisfies Completion with a grade of C- or better satisfies the GE Area B4: Mathematics/Quantitative Reasoning requirement.; units: 3 unit(s); prereqs: No prerequisites; coreqs: No corequisites; grading_type: Letter Graded Cross-listed with UNVS 15 . Mathematics and Statistics is responsible for scheduling."
MATH 18A - College Algebra,3 unit(s),"Review of basic algebra. Complex numbers, functions, graphs, polynomials, inverse functions, exponential and logarithmic functions. Satisfies B4: Mathematics/Quantitative Reasoning.","Math Enrollment Category M-I, M-II, or M-III; or MATH 1 with a grade of C- or better. MATH 1018AS required as a corequisite for Enrollment Categories M-III and M-IV, and recommended for Enrollment Category M-II.",MATH 18AW recommended.,Letter Graded,No additional notes,"Title: MATH 18A - College Algebra; description: Review of basic algebra. Complex numbers, functions, graphs, polynomials, inverse functions, exponential and logarithmic functions. Satisfies B4: Mathematics/Quantitative Reasoning.; units: 3 unit(s); prereqs: Math Enrollment Category M-I, M-II, or M-III; or MATH 1 with a grade of C- or better. MATH 1018AS required as a corequisite for Enrollment Categories M-III and M-IV, and recommended for Enrollment Category M-II.; coreqs: MATH 18AW recommended.; grading_type: Letter Graded"
MATH 18AW - College Algebra Workshop,1 unit(s),Students work in groups on college algebra material to help them understand college algebra concepts more thoroughly since it is the groundwork for success in future math courses. Misc/Lab: Activity 3 hours.Course may be repeated for credit for up to 3 units.,No prerequisites,MATH 18A,Credit/No Credit,No additional notes,Title: MATH 18AW - College Algebra Workshop; description: Students work in groups on college algebra material to help them understand college algebra concepts more thoroughly since it is the groundwork for success in future math courses. Misc/Lab: Activity 3 hours.Course may be repeated for credit for up to 3 units.; units: 1 unit(s); prereqs: No prerequisites; coreqs: MATH 18A; grading_type: Credit/No Credit
MATH 18B - Trigonometry,3 unit(s),"Trigonometric functions: Unit circle, right triangle, analytic; trigonometric identities. Analytic geometry (conic sections). Other topics chosen from: polar coordinates and complex numbers; vectors in two and three dimensions.",MATH 18A with a grade of C- or better.,No corequisites,Letter Graded,"With MATH 18A , preparation for MATH 30 /MATH 30X .","Title: MATH 18B - Trigonometry; description: Trigonometric functions: Unit circle, right triangle, analytic; trigonometric identities. Analytic geometry (conic sections). Other topics chosen from: polar coordinates and complex numbers; vectors in two and three dimensions.; units: 3 unit(s); prereqs: MATH 18A with a grade of C- or better.; coreqs: No corequisites; grading_type: Letter Graded"
MATH 18BW - Trigonometry Workshop,1 unit(s),"Students work in groups on trigonometry material presented in MATH 18B , to help them understand trigonometry concepts more thoroughly. Activity 3 hours.May be repeated for credit for up to 3 units.",No prerequisites,MATH 18B .,Credit/No Credit,No additional notes,"Title: MATH 18BW - Trigonometry Workshop; description: Students work in groups on trigonometry material presented in MATH 18B , to help them understand trigonometry concepts more thoroughly. Activity 3 hours.May be repeated for credit for up to 3 units.; units: 1 unit(s); prereqs: No prerequisites; coreqs: MATH 18B .; grading_type: Credit/No Credit"
MATH 19 - Precalculus,5 unit(s),"Preparation for calculus: polynomial, rational, exponential, logarithmic and trigonometric functions; analytic geometry. Lecture 4 hours/Lab 3 hours.Satisfies B4: Mathematics/Quantitative Reasoning.","Math Enrollment Category M-I, M-II, or M-III; or MATH 1 with a grade of C- or better.","MATH 1019S required as a corequisite for Enrollment Category M-III, and recommended for Enrollment Category M-II.",ABC-/No Credit.,No additional notes,"Title: MATH 19 - Precalculus; description: Preparation for calculus: polynomial, rational, exponential, logarithmic and trigonometric functions; analytic geometry. Lecture 4 hours/Lab 3 hours.Satisfies B4: Mathematics/Quantitative Reasoning.; units: 5 unit(s); prereqs: Math Enrollment Category M-I, M-II, or M-III; or MATH 1 with a grade of C- or better.; coreqs: MATH 1019S required as a corequisite for Enrollment Category M-III, and recommended for Enrollment Category M-II.; grading_type: ABC-/No Credit."
MATH 30 - Calculus I,3 unit(s),"Introduction to calculus including limits, continuity, differentiation, applications and introduction to integration. Graphical, algebraic and numerical methods of solving problems. Satisfies B4: Mathematics/Quantitative Reasoning.","Math Enrollment Category M-I or M-II and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of B or better to waive the exam; or MATH 18A and MATH 18B , with a grade of B or better in each to waive the exam.",No corequisites,Letter Graded,"Students repeating MATH 30 are not eligible for this class and must take MATH 30X , but grade forgiveness can apply. MATH 30X is replacing MATH 30P and MATH 30PL.","Title: MATH 30 - Calculus I; description: Introduction to calculus including limits, continuity, differentiation, applications and introduction to integration. Graphical, algebraic and numerical methods of solving problems. Satisfies B4: Mathematics/Quantitative Reasoning.; units: 3 unit(s); prereqs: Math Enrollment Category M-I or M-II and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of B or better to waive the exam; or MATH 18A and MATH 18B , with a grade of B or better in each to waive the exam.; coreqs: No corequisites; grading_type: Letter Graded"
MATH 30W - Calculus I Workshop,2 unit(s),Designed to help all students excel in Calculus I. Students work in groups on challenging calculus problems to help them understand the concepts in Calculus I more deeply and lay the groundwork for success in future math courses. Lab 6 hours.,No prerequisites,MATH 30X .,Credit/No Credit,The workshop is 2 units. Activities in this workshop include embedded Precalculus review as well Calculus I material.,Title: MATH 30W - Calculus I Workshop; description: Designed to help all students excel in Calculus I. Students work in groups on challenging calculus problems to help them understand the concepts in Calculus I more deeply and lay the groundwork for success in future math courses. Lab 6 hours.; units: 2 unit(s); prereqs: No prerequisites; coreqs: MATH 30X .; grading_type: Credit/No Credit
MATH 30X - Calculus I,3 unit(s),"Introduction to calculus including limits, continuity, differentiation, applications, and introduction to integration. Graphical, algebraic and numerical methods of solving problems. Satisfies B4: Mathematics/Quantitative Reasoning.","Math Enrollment Category M-I, M-II, or M-III and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of C- or better to waive the exam; or MATH 18A and MATH 18B with a grade of C- or better in each to waive the exam.",MATH 30W .,Letter Graded,MATH 30X is treated as a repeat for students who have taken MATH 30 . MATH 30X is replacing MATH 30P and MATH 30PL.,"Title: MATH 30X - Calculus I; description: Introduction to calculus including limits, continuity, differentiation, applications, and introduction to integration. Graphical, algebraic and numerical methods of solving problems. Satisfies B4: Mathematics/Quantitative Reasoning.; units: 3 unit(s); prereqs: Math Enrollment Category M-I, M-II, or M-III and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of C- or better to waive the exam; or MATH 18A and MATH 18B with a grade of C- or better in each to waive the exam.; coreqs: MATH 30W .; grading_type: Letter Graded"
MATH 31 - Calculus II,4 unit(s),"Definite and indefinite integration with applications. Sequences and series. Graphical, algebraic and numerical methods of solving problems.  Satisfies B4: Mathematics/Quantitative Reasoning.","AP Calculus AB score 4 to 5, AP Calculus BC/AB Subscore 4-5, or MATH 30 or MATH 30X (with a grade of B or better).",No corequisites,Letter Graded,Passing this course with a grade of C- or better course fulfills GE Area B4. Students who are repeating MATH 31 or MATH 31X are not eligible for this class and must take MATH 31X .,"Title: MATH 31 - Calculus II; description: Definite and indefinite integration with applications. Sequences and series. Graphical, algebraic and numerical methods of solving problems.  Satisfies B4: Mathematics/Quantitative Reasoning.; units: 4 unit(s); prereqs: AP Calculus AB score 4 to 5, AP Calculus BC/AB Subscore 4-5, or MATH 30 or MATH 30X (with a grade of B or better).; coreqs: No corequisites; grading_type: Letter Graded"
MATH 31W - Calculus II Workshop,1 unit(s),Support for students to excel in Calculus II. Students work in groups on challenging calculus problems to help them understand the concepts in Calculus II more deeply and lay the groundwork for success in future math courses. Lab 3 hours.Course is repeatable for up to 3 units.,No prerequisites,MATH 31X .,Credit/No Credit,No additional notes,Title: MATH 31W - Calculus II Workshop; description: Support for students to excel in Calculus II. Students work in groups on challenging calculus problems to help them understand the concepts in Calculus II more deeply and lay the groundwork for success in future math courses. Lab 3 hours.Course is repeatable for up to 3 units.; units: 1 unit(s); prereqs: No prerequisites; coreqs: MATH 31X .; grading_type: Credit/No Credit
MATH 31X - Calculus II,4 unit(s),"Definite and indefinite integration with applications. Sequences and series. Graphical, algebraic and numerical methods of solving problems. Satisfies B4: Mathematics/Quantitative Reasoning.","AP Calculus AB score 3 to 5, AP Calculus BC/AB Subscore 3-5, or MATH 30 or MATH 30X (with a grade of C- or better).",MATH 31W .,Letter Graded,Passing this course with a grade of C- or better course fulfills GE Area B4. Students who are repeating MATH 31 or Math 31X are not eligible for this class and must take Math 31X.,"Title: MATH 31X - Calculus II; description: Definite and indefinite integration with applications. Sequences and series. Graphical, algebraic and numerical methods of solving problems. Satisfies B4: Mathematics/Quantitative Reasoning.; units: 4 unit(s); prereqs: AP Calculus AB score 3 to 5, AP Calculus BC/AB Subscore 3-5, or MATH 30 or MATH 30X (with a grade of C- or better).; coreqs: MATH 31W .; grading_type: Letter Graded"
MATH 32 - Calculus III,3 unit(s),"Functions of more than one variable, partial derivatives, multiple integrals and vector calculus. Graphical, algebraic and numerical methods of solving problems. Satisfies B4: Mathematics/Quantitative Reasoning.",Score of 4 to 5 on the AP Calculus BC Exam; or MATH 31 or MATH 31X with a grade of B or better.,No corequisites,Letter Graded,Students who are repeating MATH 32 must take MATH 32X .,"Title: MATH 32 - Calculus III; description: Functions of more than one variable, partial derivatives, multiple integrals and vector calculus. Graphical, algebraic and numerical methods of solving problems. Satisfies B4: Mathematics/Quantitative Reasoning.; units: 3 unit(s); prereqs: Score of 4 to 5 on the AP Calculus BC Exam; or MATH 31 or MATH 31X with a grade of B or better.; coreqs: No corequisites; grading_type: Letter Graded"
MATH 32H - Honors Multivariable Calculus,4 unit(s),"Functions of more than one variable, partial derivatives, and multiple integrals. Vector fields, line and surface integrals, Greens Theorem, Stokes Theorem, Divergence Theorem. Applications to engineering and science. Misc/Lab: Lecture 3 hours/Lab 3 hours",A score of 4 or 5 on the AP Calculus BC exam or Instructor Consent.,No corequisites,Letter Graded,No additional notes,"Title: MATH 32H - Honors Multivariable Calculus; description: Functions of more than one variable, partial derivatives, and multiple integrals. Vector fields, line and surface integrals, Greens Theorem, Stokes Theorem, Divergence Theorem. Applications to engineering and science. Misc/Lab: Lecture 3 hours/Lab 3 hours; units: 4 unit(s); prereqs: A score of 4 or 5 on the AP Calculus BC exam or Instructor Consent.; coreqs: No corequisites; grading_type: Letter Graded"
MATH 32W - Calculus III Workshop,1 unit(s),Designed to promote students to excel in Calculus III. Students work in groups on Calculus III material to help them understand Calculus III concepts more thoroughly. Lab 3 hours.Course is repeatable for up to 3 units.,No prerequisites,MATH 32X .,Credit/No Credit,No additional notes,Title: MATH 32W - Calculus III Workshop; description: Designed to promote students to excel in Calculus III. Students work in groups on Calculus III material to help them understand Calculus III concepts more thoroughly. Lab 3 hours.Course is repeatable for up to 3 units.; units: 1 unit(s); prereqs: No prerequisites; coreqs: MATH 32X .; grading_type: Credit/No Credit
MATH 32X - Calculus III,3 unit(s),"Functions of more than one variable, partial derivatives, multiple integrals and vector calculus. Graphical, algebraic and numerical methods of solving problems. Satisfies B4: Mathematics/Quantitative Reasoning.",Score of 3 to 5 on the AP Calculus BC Exam; or MATH 31 or MATH 31X with a grade of C- or better.,MATH 32W .,Letter Graded,No additional notes,"Title: MATH 32X - Calculus III; description: Functions of more than one variable, partial derivatives, multiple integrals and vector calculus. Graphical, algebraic and numerical methods of solving problems. Satisfies B4: Mathematics/Quantitative Reasoning.; units: 3 unit(s); prereqs: Score of 3 to 5 on the AP Calculus BC Exam; or MATH 31 or MATH 31X with a grade of C- or better.; coreqs: MATH 32W .; grading_type: Letter Graded"
MATH 33A - Ordinary Differential Equations for SCI & ENGR,3 unit(s),"First order differential equations, first order linear systems, second order linear equations, applications, Laplace transforms, series solutions.",MATH 32 or MATH 32H or MATH 32X (with a grade of C- or better) or instructor consent.,No corequisites,Letter Graded,No additional notes,"Title: MATH 33A - Ordinary Differential Equations for SCI & ENGR; description: First order differential equations, first order linear systems, second order linear equations, applications, Laplace transforms, series solutions.; units: 3 unit(s); prereqs: MATH 32 or MATH 32H or MATH 32X (with a grade of C- or better) or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
MATH 33LA - Differential Equations and Linear Algebra,3 unit(s),"Matrices, determinants, systems of linear equations, vector geometry, linear transformations, eigenvalues and eigenvectors, diagonalization, first order differential equations, linear systems of differential equations, higher order differential equations, Laplace transforms.",MATH 31 or MATH 31X (with a grade of C- or better) or instructor consent.,No corequisites,Letter Graded,No additional notes,"Title: MATH 33LA - Differential Equations and Linear Algebra; description: Matrices, determinants, systems of linear equations, vector geometry, linear transformations, eigenvalues and eigenvectors, diagonalization, first order differential equations, linear systems of differential equations, higher order differential equations, Laplace transforms.; units: 3 unit(s); prereqs: MATH 31 or MATH 31X (with a grade of C- or better) or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
MATH 39 - Linear Algebra I,3 unit(s),"Matrices, systems of linear equations, vector geometry, matrix transformations, determinants, eigenvectors and eigenvalues, orthogonality, diagonalization, applications, computer exercises. Theory in Rn emphasized; general real vector spaces and linear transformations introduced.",MATH 31 or MATH 31X (with a grade of C- or better) or instructor consent.,No corequisites,Letter Graded,No additional notes,"Title: MATH 39 - Linear Algebra I; description: Matrices, systems of linear equations, vector geometry, matrix transformations, determinants, eigenvectors and eigenvalues, orthogonality, diagonalization, applications, computer exercises. Theory in Rn emphasized; general real vector spaces and linear transformations introduced.; units: 3 unit(s); prereqs: MATH 31 or MATH 31X (with a grade of C- or better) or instructor consent.; coreqs: No corequisites; grading_type: Letter Graded"
MATH 42 - Discrete Mathematics,3 unit(s),"Sets, logic, methods of proof including mathematical induction, functions, relations, elementary combinatorics, probability, Boolean algebras.","Math Enrollment Category M-I or M-II and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of B or better to waive the exam; or MATH 18A and MATH 18B , with a grade of B or better in each to waive the exam.",No corequisites,Letter Graded,Students who are repeating MATH 42 and MATH 42X are not eligible for this class and must take MATH 42X . Cross-listed with CS 42 . Mathematics and Statistics is responsible for scheduling.,"Title: MATH 42 - Discrete Mathematics; description: Sets, logic, methods of proof including mathematical induction, functions, relations, elementary combinatorics, probability, Boolean algebras.; units: 3 unit(s); prereqs: Math Enrollment Category M-I or M-II and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of B or better to waive the exam; or MATH 18A and MATH 18B , with a grade of B or better in each to waive the exam.; coreqs: No corequisites; grading_type: Letter Graded"
MATH 42W - Discrete Math Workshop,1 unit(s),Designed to promote students to excel in Discrete Mathematics. Students work in groups on challenging discrete math problems to help them understand the concepts in discrete math more deeply and lay the groundwork for success in future courses. Lab 3 hours.Course is repeatable for up to 3 units.,No prerequisites,MATH 42X .,Credit/No Credit,No additional notes,Title: MATH 42W - Discrete Math Workshop; description: Designed to promote students to excel in Discrete Mathematics. Students work in groups on challenging discrete math problems to help them understand the concepts in discrete math more deeply and lay the groundwork for success in future courses. Lab 3 hours.Course is repeatable for up to 3 units.; units: 1 unit(s); prereqs: No prerequisites; coreqs: MATH 42X .; grading_type: Credit/No Credit
MATH 42X - Discrete Mathematics,3 unit(s),"Sets, logic, methods of proof including mathematical induction, functions, relations, elementary combinatorics, probability, Boolean algebras.","Math Enrollment Category M-I, M-II, or M-III and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of C- or better to waive the exam; or MATH 18A and MATH 18B with a grade of C- or better in each to waive the exam.",MATH 42W .,Letter Graded Cross-listed with CS 42X . Mathematics and Statistics is responsible for scheduling.,No additional notes,"Title: MATH 42X - Discrete Mathematics; description: Sets, logic, methods of proof including mathematical induction, functions, relations, elementary combinatorics, probability, Boolean algebras.; units: 3 unit(s); prereqs: Math Enrollment Category M-I, M-II, or M-III and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of C- or better to waive the exam; or MATH 18A and MATH 18B with a grade of C- or better in each to waive the exam.; coreqs: MATH 42W .; grading_type: Letter Graded Cross-listed with CS 42X . Mathematics and Statistics is responsible for scheduling."
